NM_VOTAVEL,SG_PARTIDO,NR_SECAO,NM_SECAO,ENDERECO,BAIRRO,QT_VOTOS
TÂNIA DA SILVA,MDB,22,COLÉGIO SANTA CATARINA,"RUA GENERAL OSÓRIO, 729",HAMBURGO VELHO,13
TÂNIA DA SILVA,MDB,24,COLEGIO EST. ENGENHEIRO IGNACIO CHRISTIANO PLANGG (POLI CANUDOS),"RUA GUILHERME OSCAR ODY, 153",CANUDOS,33
TÂNIA DA SILVA,MDB,24,EMEB EUGÊNIO NELSON RITZEL,"RUA DA CONQUISTA, 411 (LOT. KEPHAS I)",SAO JOSE,52
TÂNIA DA SILVA,MDB,25,COLEGIO EST. ENGENHEIRO IGNACIO CHRISTIANO PLANGG (POLI CANUDOS),"RUA GUILHERME OSCAR ODY, 153",CANUDOS,40
TÂNIA DA SILVA,MDB,25,COLÉGIO ESTADUAL 25 DE JULHO,"RUA JOSÉ DO PATROCÍNIO, 730",RIO BRANCO,23
TÂNIA DA SILVA,MDB,26,COLEGIO EST. ENGENHEIRO IGNACIO CHRISTIANO PLANGG (POLI CANUDOS),"RUA GUILHERME OSCAR ODY, 153",CANUDOS,26
TÂNIA DA SILVA,MDB,26,SOCIEDADE DE CANTO UNIÃO FRATERNAL,"AV. PEDRO ADAMS FILHO, 3971",PATRIA NOVA,37
TÂNIA DA SILVA,MDB,27,EMEB SÃO JOÃO,"RUA ARAÚJO VIANA, 74",GUARANI,29
TÂNIA DA SILVA,MDB,29,COLEGIO EST. ENGENHEIRO IGNACIO CHRISTIANO PLANGG (POLI CANUDOS),"RUA GUILHERME OSCAR ODY, 153",CANUDOS,38
TÂNIA DA SILVA,MDB,29,EMEB MONTEIRO LOBATO,"RUA IRMÃ LINA, 240",SAO JORGE,31
TÂNIA DA SILVA,MDB,32,EEEF FREDERICA SCHUTZ PACHECO,"RUA LOURENÇO DA VEIGA, 70",OURO BRANCO,39
TÂNIA DA SILVA,MDB,32,EEEF JOAO RIBEIRO,"RUA FLORENCA, 103",CANUDOS,39
TÂNIA DA SILVA,MDB,33,EEEF JOAO RIBEIRO,"RUA FLORENCA, 103",CANUDOS,39
TÂNIA DA SILVA,MDB,33,EEEM OSVALDO ARANHA,"RUA TIMBAÚVA, 931",IDEAL,40
TÂNIA DA SILVA,MDB,34,EEEF JOAO RIBEIRO,"RUA FLORENCA, 103",CANUDOS,29
TÂNIA DA SILVA,MDB,35,EEEF JOAO RIBEIRO,"RUA FLORENCA, 103",CANUDOS,21
TÂNIA DA SILVA,MDB,36,EEEF JOAO RIBEIRO,"RUA FLORENCA, 103",CANUDOS,23
